,last,new_original,new_432,new_128
41,https://deshevle-tut.ru/wp-content/uploads/2019/08/IMG_0877-22-01-21-12-49-scaled.jpg,https://deshevle-tut.ru/data/photos/original/IMG_0877-22-01-21-12-49-scaled.jpg,https://deshevle-tut.ru/data/photos/432/432__IMG_0877-22-01-21-12-49-scaled.jpg,https://deshevle-tut.ru/data/photos/128/128__IMG_0877-22-01-21-12-49-scaled.jpg
42,https://deshevle-tut.ru/wp-content/uploads/2019/08/TKR-k27-115.jpg,https://deshevle-tut.ru/data/photos/original/TKR-k27-115.jpg,https://deshevle-tut.ru/data/photos/432/432__TKR-k27-115.jpg,https://deshevle-tut.ru/data/photos/128/128__TKR-k27-115.jpg
43,https://deshevle-tut.ru/wp-content/uploads/2019/08/Soshka-gura-4310.jpg,https://deshevle-tut.ru/data/photos/original/Soshka-gura-4310.jpg,https://deshevle-tut.ru/data/photos/432/432__Soshka-gura-4310.jpg,https://deshevle-tut.ru/data/photos/128/128__Soshka-gura-4310.jpg
44,https://deshevle-tut.ru/wp-content/uploads/2019/08/Energoakkumulyatory-tip-24-20.jpg,https://deshevle-tut.ru/data/photos/original/Energoakkumulyatory-tip-24-20.jpg,https://deshevle-tut.ru/data/photos/432/432__Energoakkumulyatory-tip-24-20.jpg,https://deshevle-tut.ru/data/photos/128/128__Energoakkumulyatory-tip-24-20.jpg
45,https://deshevle-tut.ru/wp-content/uploads/2019/08/SHtanga-reaktivnaya-5511-2919012.jpg,https://deshevle-tut.ru/data/photos/original/SHtanga-reaktivnaya-5511-2919012.jpg,https://deshevle-tut.ru/data/photos/432/432__SHtanga-reaktivnaya-5511-2919012.jpg,https://deshevle-tut.ru/data/photos/128/128__SHtanga-reaktivnaya-5511-2919012.jpg
46,https://deshevle-tut.ru/wp-content/uploads/2019/08/Os-balansira.png,https://deshevle-tut.ru/data/photos/original/Os-balansira.png,https://deshevle-tut.ru/data/photos/432/432__Os-balansira.png,https://deshevle-tut.ru/data/photos/128/128__Os-balansira.png
47,https://deshevle-tut.ru/wp-content/uploads/2019/08/Nasos-GURa-shnkf.jpg,https://deshevle-tut.ru/data/photos/original/Nasos-GURa-shnkf.jpg,https://deshevle-tut.ru/data/photos/432/432__Nasos-GURa-shnkf.jpg,https://deshevle-tut.ru/data/photos/128/128__Nasos-GURa-shnkf.jpg
48,https://deshevle-tut.ru/wp-content/uploads/2019/08/Nasos-gura-ZIL.jpg,https://deshevle-tut.ru/data/photos/original/Nasos-gura-ZIL.jpg,https://deshevle-tut.ru/data/photos/432/432__Nasos-gura-ZIL.jpg,https://deshevle-tut.ru/data/photos/128/128__Nasos-gura-ZIL.jpg
49,https://deshevle-tut.ru/wp-content/uploads/2020/07/запчасть-на-фотосессии.jpg,https://deshevle-tut.ru/data/photos/original/запчасть-на-фотосессии.jpg,https://deshevle-tut.ru/data/photos/432/432__запчасть-на-фотосессии.jpg,https://deshevle-tut.ru/data/photos/128/128__запчасть-на-фотосессии.jpg
50,https://deshevle-tut.ru/wp-content/uploads/2020/07/запчасть-на-фотосессии.jpg,https://deshevle-tut.ru/data/photos/original/запчасть-на-фотосессии.jpg,https://deshevle-tut.ru/data/photos/432/432__запчасть-на-фотосессии.jpg,https://deshevle-tut.ru/data/photos/128/128__запчасть-на-фотосессии.jpg
