id,created_at,updated_at,deleted_at,category,spare_parts_unit,title,vendor_code,description,short_description,price,image_original,image_128,image_432,can_to_view
193494,,,,1,0,Уплотнитель опускного стекла (бархотка) БРТ,5320-6103254,0,0,414,0,0,0,true
193495,,,,1,0,Уплотнитель опускного стекла МАЗ / БРТ,6430-6103254,0,0,697.2,0,0,0,true
193496,,,,1,0,Уплотнитель панели облицовочной (на 5490) / MB (оригинал),9737510598,0,0,2347.2,0,0,0,true
193497,,,,1,0,Уплотнитель панели приборов,5320-5325163,0,0,330,0,0,0,true
193498,,,,1,0,Уплотнитель под фару,5320-3711321,0,0,38.4,0,0,0,true
193499,,,,1,0,Уплотнитель проема двери,5320-6107062,0,0,408,0,0,0,true
193500,,,,1,0,Уплотнитель проема двери внутр. МАЗ / БРТ,6430-6107024-010,0,0,316.8,0,0,0,true
193501,,,,1,0,Уплотнитель проема двери наружный МАЗ / БРТ,6430-6107030,0,0,398.4,0,0,0,true
193502,,,,1,0,Уплотнитель ручки КПП ,412-1703016,0,0,39.6,0,0,0,true
193503,,,,1,0,Уплотнитель рычага КПП (арена),5320-5130027,0,0,188.4,0,0,0,true
193504,,,,1,0,Уплотнитель рычага КПП (стадион),5320-5130016-01,0,0,265.2,0,0,0,true
193505,,,,1,0,Уплотнитель рычага КПП (стадион) Евро,53205-5130016-01,0,0,177.6,0,0,0,true
193506,,,,1,0,Уплотнитель рычага КПП Евро / РОСТАР,53205-5130016-20,0,0,678.72,0,0,0,true
193507,,,,1,0,Уплотнитель тросового привода КПП / РОСТАР,530-1703605-20,0,0,435.6,0,0,0,true
193508,,,,1,0,Уплотнитель форсунки в клапанной крышке ( 8х18х8) ISF2.8 / аналог,5255314,0,0,84,0,0,0,true
193509,,,,1,0,"Уплотнитель форсунки в клапанной крышке (21х36х6,5) ISF2.8 / аналог",5255313,0,0,84,0,0,0,true
193510,,,,1,0,Уплотнитель форточки (левый) / БРТ,5320-6103123,0,0,439.2,0,0,0,true
193511,,,,1,0,Уплотнитель форточки (правый) / БРТ,5320-6103122,0,0,456,0,0,0,true
193512,,,,1,0,Уплотнительное кольцо на КПП ZF (0634306012/5840333057),0634306012 /5840333057,0,0,87.6,0,0,0,true
193513,,,,1,0,Упор воздушного фильтра верхний / ОАО КамАЗ,53205-1109355-01,0,0,260.4,0,0,0,true
193514,,,,1,0,Упор облицовочной панели,5320-8407110,0,0,126,0,0,0,true
193515,,,,1,5,Упор ПГУ (завод),15-1772080,0,0,78,0,0,0,true
193516,,,,1,0,Упор поворотного кулака / ОАО КамАЗ,5320-3001026,0,0,166.8,0,0,0,true
193517,,,,1,0,Упор полуоси (опора)/ МАДАРА,41-017-5082,0,0,115.2,0,0,0,true
193518,,,,1,0,Упругий элемент / Автокомпонент,16-3533110,0,0,741.6,0,0,0,true
193519,,,,1,0,Упругий элемент / г.Рославль,100-3533110,0,0,1220.4,0,0,0,true
193520,,,,1,0,Упругий элемент опоры передней подвески / РОСТАР,6520-2902430,0,0,1076.4,0,0,0,true
193521,,,,1,0,Усилитель бампера / ОАО КамАЗ,5490-2809010,0,0,18165.6,0,0,0,true
193522,,,,1,0,Усилитель блока цилиндров (6ISBe)##,4945783 / 3965764,0,0,2534.4,0,0,0,true
193523,,,,1,0,Усилитель блока цилиндров Евро-3 (рамка жесткости) ISF3.8,4945794 / 5260508,0,0,2250,0,0,0,true
193524,,,,1,0,Усилитель блока цилиндров Евро-4 (рамка жесткости) ISF3.8,5288833,0,0,759.6,0,0,0,true
193525,,,,1,0,Усилитель кронштейн пневморессоры ТОНАР ,9746-2922101-90,0,0,360,0,0,0,true
193526,,,,1,0,Усилитель кронштейна компрессора (ISLe)##,3944000,0,0,878.4,0,0,0,true
193527,,,,1,0,Усилитель проема двери передний левый,5320-5401025-10,0,0,1537.2,0,0,0,true
193528,,,,1,0,Усилитель проема двери передний правый,5320-5401024-10,0,0,1537.2,0,0,0,true
193529,,,,1,0,Усилитель рамки лобового стекла (верхний),53205-5301019-10,0,0,1246.8,0,0,0,true
193530,,,,1,0,Усилитель рамки лобового стекла (нижний),5320-5301137,0,0,1668,0,0,0,true
193531,,,,1,0,Утеплитель капота нового образца (двухсторонний),53205-3914010-02,0,0,780,0,0,0,true
193532,,,,1,0,Утеплитель капота нового образца (до -20) искож,53205-3914010-20,0,0,480,0,0,0,true
193533,,,,1,0,Утеплитель капота нового образца (до -40) искож,53205-3914010-40,0,0,600,0,0,0,true
193534,,,,1,0,Утеплитель капота нового образца (до -60) oxford,53205-3914010-60,0,0,660,0,0,0,true
193535,,,,1,0,Утеплитель капота старого образца (двухсторонний),5320-3914010-02,0,0,780,0,0,0,true
193536,,,,1,0,Утеплитель капота старого образца (до -20) искож,5320-3914010-20,0,0,480,0,0,0,true
193537,,,,1,0,Утеплитель капота старого образца (до -40) искож,5320-3914010-40,0,0,600,0,0,0,true
193538,,,,1,0,Утеплитель капота старого образца (до -60) oxford,5320-3914010-60,0,0,660,0,0,0,true
193539,,,,1,0,Утеплитель пола из 3-ёх прошитый ЗАВОД,5320-5112024/025/027,0,0,672,0,0,0,true
193540,,,,1,0,Ушко задней рессоры МАЗ (прицепа под широкую рессору) с чугунной втулкой,5336-2912015,0,0,1224,0,0,0,true
193541,,,,1,0,Ушко рессоры без втулки / ОАО КамАЗ,5320-2902126,0,0,1354.8,0,0,0,true
193542,,,,1,0,Ушко рессоры в сборе с биметаллической втулкой СТАЛЬ/ЛАТУНЬ,5320-2902020,0,0,844.8,0,0,0,true
