"Код заказа","Номер по каталогу","Наименование","Ед.изм.","Цена руб","Количество заказано","Вес кг.","Сумма заказа руб.","Вес заказа кг."
"МД-00004081","5511-8608010-02","Бак масляный на 5511 в сборе с масляным фильтром ( 400 х 400 х 260 )","шт","6380","","11.48","0","0"
"МД-00034728","5511-8608010-02","Бак масляный на 5511 в сборе с масляным фильтром ( 400 х 400 х 260 ) / НЕФАЗ / с разбора","шт","6000","","0.001","0","0"
"МД-00021195","5511-8608010","Бак масляный на 5511 в сборе с масляным фильтром ( 460 х 390 х 280 ) / Автотехнология","шт","7325","","0.001","0","0"
"МД-00010058","65115-8608010","Бак масляный на 65115 в сборе с масляным фильтром ( 500 х 390 х 260 ) объем 60 литров","шт","6710","","12.96","0","0"
"МД-00003607","6522-8608010","Бак масляный на 6520 голый  ( гидробак ) объем 72 литра","шт","9900","","23.4","0","0"
"МД-00022757","6522-8608010","Бак масляный на 6520 голый  ( гидробак ) объем 72 литра / с разбора","шт","6500","","0.001","0","0"
"МД-00022756","6522--8608010","Бак масляный на 6522 голый ( 490 х 350 х 570 ) / Автотехнология","шт","17450","","20","0","0"
"МД-00022322","14016580","Бак масляный на 6580 (объем 108л.) в сборе / HYVA","шт","15000","","25","0","0"
"МД-00016942","9304701415","Бак мочевины на 5490 / MB (оригинал)","шт","52844","","0.001","0","0"
"МД-00022505","54112-1101010 / П0017894","Бак топливный 650л. 2100*505*700 аллюминий / Бакор ","к-т","51570","","0","0","0"
"МД-00018644","П0017518","Бак топливный алюминиевый голый 300л. 970*505*700 (дл*выс*шир) на SCANIA крышка резьбовая / Бакор","шт","27690","","30","0","0"
"МД-00022941","П0017894","Бак топливный алюминиевый голый 650л. 2100*505*700 (дл*выс*шир)  / Бакор","шт","49818","","0.001","0","0"
"МД-00011777","-","Бак топливный алюминиевый голый 700л. 1820*620*675 (дл*выс*шир) на КАМАЗ 5490 (4 перегородки) / Бакор","шт","47619","","75","0","0"
"МД-00010013","5410-1101010-10 / К0000343","Бак топливный в сборе 125л. 680*405*498 (дл*выс*шир) с топливозаборником, высокая горловина, откидная крышка / Бакор","к-т","9639","","0","0","0"
"МД-00002994","5410-1101010-10 / П0000082","Бак топливный в сборе 125л. 680*405*498 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Бакор","к-т","9639","","0","0","0"
"МД-00006211","5320-1101010","Бак топливный в сборе 125л. 710*400*490 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","8713","","0","0","0"
"МД-00022440","5320-1101010","Бак топливный в сборе 125л. 710*413*493 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Автотехнология ","к-т","9634","","0","0","0"
"МД-00002987","54112-1101010-30","Бак топливный в сборе 170л. 950*400*490 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","8846","","0","0","0"
"МД-00013861","53215-1101010-30","Бак топливный в сборе 170л. 950*400*490 ЕВРО (дл*выс*шир), с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","10697","","0","0","0"
"МД-00010016","54112-1101010 / К0000214","Бак топливный в сборе 170л. 950*405*498 (дл*выс*шир) с топливозаборником, высокая горловина, откидная крышка / Бакор","к-т","10055","","0","0","0"
"МД-00002995","54112-1101010 / П0000084","Бак топливный в сборе 170л. 950*405*498 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Бакор","к-т","10055","","0","0","0"
"МД-00022442","5320-1101010","Бак топливный в сборе 170л. 950*413*493 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Автотехнология","к-т","10044","","0","0","0"
"МД-00018801","Б130-1101008 / П0006305","Бак топливный в сборе 175л. 950*315*605 (дл*выс*шир) на ЗИЛ-130, с топливозаборником, откидная крышка / Бакор","шт","16038","","0.001","0","0"
"МД-00010029","5320-1101010 / К0000249","Бак топливный в сборе 210л. 690*530*650 (дл*выс*шир) с топливозаборником, высокая горловина, откидная крышка / Бакор","к-т","11068","","0","0","0"
"МД-00002996","5320-1101010 / П0000118","Бак топливный в сборе 210л. 690*530*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Бакор","к-т","11068","","0","0","0"
"МД-00020232","53215-1101010","Бак топливный в сборе 210л. 710*540*640 ЕВРО (дл*выс*шир) без топливозаборника, низкая горловина, полуоборотная крышка / КМЗ","к-т","9162","","0","0","0"
"МД-00009861","5320-1101010","Бак топливный в сборе 210л. 750*530*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","10046","","0","0","0"
"МД-00020190","53215-1101010","Бак топливный в сборе 210л. 750*530*650 ЕВРО (дл*выс*шир) без топливозаборника, низкая горловина, полуоборотная крышка / КМЗ","к-т","9162","","0","0","0"
"МД-00015866","53215-1101010","Бак топливный в сборе 210л. 750*530*650 ЕВРО (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","11898","","0","0","0"
"МД-00010075","5320-1101010","Бак топливный в сборе 250л. 1360*400*490 (дл*выс*шир) с топливозаборником, высокая горловина, полуоборотная крышка / КМЗ","к-т","10506","","0","0","0"
"МД-00002988","5320-1101010","Бак топливный в сборе 250л. 1360*400*490 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","10506","","0","0","0"
"МД-00010030","5320-1101010 / К0000144","Бак топливный в сборе 250л. 1360*405*498 (дл*выс*шир) с топливозаборником, высокая горловина, откидная крышка / Бакор","к-т","11469","","0","0","0"
"МД-00002997","5320-1101010 / П000086","Бак топливный в сборе 250л. 1360*405*498 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Бакор","к-т","11469","","0","0","0"
"МД-00022444","5320-1101010","Бак топливный в сборе 250л. 1360*413*493 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Автотехнология","к-т","11449","","0","0","0"
"МД-00006289","5320-1101010","Бак топливный в сборе 300л. 790*660*660 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","11528","","0","0","0"
"МД-00020382","53215-1101010","Бак топливный в сборе 300л. 790*660*660 ЕВРО (дл*выс*шир) без топливозаборника, низкая горловина, полуоборотная крышка / КМЗ","к-т","10760","","0","0","0"
"МД-00020366","54112-1101010 / П0000242","Бак топливный в сборе 300л. 810*650*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Бакор","к-т","12678","","0","0","0"
"МД-00006214","54112-1101010-30","Бак топливный в сборе 300л. 900*540*640 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","11450","","0","0","0"
"МД-00016094","54112-1101010 / Н003311","Бак топливный в сборе 300л. 990*530*650 (дл*выс*шир) с топливозаборником, высокая горловина, откидная крышка / Бакор","к-т","12663","","0","0","0"
"МД-00012815","54112-1101010-30","Бак топливный в сборе 350л. 1050*540*640 (дл*выс*шир) с топливозаборником, высокая горловина, откидная крышка / КМЗ","к-т","12464","","0","0","0"
"МД-00015072","54112-1101010-30","Бак топливный в сборе 350л. 1050*540*640 (дл*выс*шир) с топливозаборником, высокая горловина, полуоборотная крышка / КМЗ","к-т","12074","","0","0","0"
"МД-00011499","54112-1101010-30","Бак топливный в сборе 350л. 1050*540*640 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","12074","","0","0","0"
"МД-00020393","53215-1101010-10","Бак топливный в сборе 350л. 1050*540*640 ЕВРО (дл*выс*шир) без топливозаборника, низкая горловина, полуоборотная крышка / КМЗ","к-т","11188","","0","0","0"
"МД-00010031","54112-1101010-30 / К0000347","Бак топливный в сборе 350л. 1150*530*650 (дл*выс*шир) с топливозаборником, высокая горловина, откидная крышка / Бакор","к-т","13344","","0","0","0"
"МД-00011500","54112-1101010-30","Бак топливный в сборе 350л. 1150*530*650 (дл*выс*шир) с топливозаборником, высокая горловина, полуоборотная крышка / КМЗ","к-т","12074","","0","0","0"
"МД-00022447","53215-1101010","Бак топливный в сборе 350л. 1150*530*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Автотехнология","к-т","13310","","0","0","0"
"МД-00002998","54112-1101010-30 / П0000122","Бак топливный в сборе 350л. 1150*530*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Бакор","к-т","13344","","0","0","0"
"МД-00020361","54112-1101010-30","Бак топливный в сборе 350л. 1150*530*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","12074","","0","0","0"
"МД-00016145","53215-1101010 / П0003850","Бак топливный в сборе 350л. 1150*530*650 ЕВРО (дл*выс*шир) без топливозаборника, низкая горловина, полуоборотная крышка / Бакор","к-т","13344","","0","0","0"
"МД-00011502","53215-1101010-10","Бак топливный в сборе 350л. 1150*530*650 ЕВРО (дл*выс*шир) без топливозаборника, низкая горловина, полуоборотная крышка / КМЗ","к-т","11188","","0","0","0"
"МД-00020383","53215-1101010 / П0016339","Бак топливный в сборе 350л. 1150*530*650 ЕВРО (дл*выс*шир) без топлизаборника, высокая горловина, откидная крышка / Бакор","к-т","13344","","0","0","0"
"МД-00016244","53215-1101010-10","Бак топливный в сборе 350л. 1150*530*650 ЕВРО (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","13925","","0","0","0"
"МД-00020362","П0000092","Бак топливный в сборе 370л. 1000*650*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Бакор","к-т","14108","","0","0","0"
"МД-00002990","54112-1101010-30","Бак топливный в сборе 400л. 1040*660*660 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","13243","","0","0","0"
"МД-00017357","54112-1101010-30","Бак топливный в сборе 400л. 1040*660*660 ЕВРО (дл*выс*шир) без топливозаборника, низкая горловина, полуоборотная крышка / КМЗ","к-т","12358","","0","0","0"
"МД-00020363","54112-1101010-10 / П0000250","Бак топливный в сборе 400л. 1090*650*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Бакор","к-т","14401","","0","0","0"
"МД-00010073","54112-1101010-30","Бак топливный в сборе 400л. 1200*540*640 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","13165","","0","0","0"
"МД-00022927","54112-1101010-20","Бак топливный в сборе 400л. 1200*540*640 ЕВРО (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","15017","","0","0","0"
"МД-00009454","54112-1101010-20 / П0000130","Бак топливный в сборе 420л. 1380*530*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Бакор","к-т","16365","","0","0","0"
"МД-00010033","54112-1101010-20 / К0000337","Бак топливный в сборе 420л. 1380*530*650 (дл*выс*шир) с топлизаборником, высокая горловина, откидная крышка / Бакор","к-т","16365","","0","0","0"
"МД-00011643","5320-1101010-40","Бак топливный в сборе 450л. 1165*660*660 ЕВРО (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / КМЗ","к-т","17309","","0","0","0"
"МД-00002999","5320-1101010-40 / П0000094","Бак топливный в сборе 450л. 1175*650*650 (дл*выс*шир) с топливозаборником, низкая горловина, полуоборотная крышка / Бакор","к-т","16698","","0","0","0"
"МД-00010034","5320-1101010-40 / К0000022","Бак топливный в сборе 450л. 1175*650*650 (дл*выс*шир) с топлизаборником, высокая горловина, откидная крышка / Бакор","к-т","16698","","0","0","0"
"МД-00011891","54112-1101010-20","Бак топливный в сборе 500л. 1250*660*660 (дл*выс*шир) с топливозаборником, высокая горловина, полуоборотная крышка / КМЗ","к-т","16595","","0","0","0"
