"Код заказа","Номер по каталогу","Наименование","Ед.изм.","Цена руб","Количество заказано","Вес кг.","Сумма заказа руб.","Вес заказа кг."
"ДН009224","БЭУП-452925.002","Блок электронный управления пневмоподвеской","шт","21150","","0.25","0","0"
"ДН010331","472 900 055 0","Блок электропневмоклапанов ЕСАS 472 900 055 0","шт","10200","","0","0","0"
"ДН009736","6430-8008047","Боковина обтекателя н/о (левая)","шт","2566","","1","0","0"
"ДН008693","6430-8008046","Боковина обтекателя н/о (правая)","шт","1750","","1","0","0"
"ДН004765","5336-3407216","Болт (винт) регулировки натяжения ремня ГУР","шт","72","","0.13","0","0"
"ДН012447","2 469 403 231","Болт (штуцер с сеткой) на ТНВД  650 (BOSCH)","шт","1380","","0.052","0","0"
"00000776","СТ25-3708-011","Болт втягивающего реле медный","шт","120","","0.02","0","0"
"ДН14391","240Н-1008504/310228","Болт выпускного коллектора и крепления сильфона (усилен.шляпа и омедненный)","шт","21","","0.042","0","0"
"ДН012626","5340-1008504","Болт выхлопного коллектора М10х80 ЯМЗ 536","шт","580","","0","0","0"
"ДН010999","5440А9-1001082","Болт задней опоры двигателя (стяжка) М20х172х1,5; К=30; Р=55","шт","115","","0.44","0","0"
"ДН002932","371264","Болт карданный М10х40х1 в сборе","шт","15","","0.05","0","0"
"ДН005120","371265/250688","Болт карданный М10х55х1 ст.обр","шт","19","","0.05","0","0"
"ДН003243","291554-П29","Болт карданный М12х40х1,25 в сборе","шт","17.5","","0.06","0","0"
"ДН004267","371726","Болт карданный М12х50х1,25 в сборе","шт","20","","0.1","0","0"
"ДН004060","","Болт карданный М14х40х1,5 в сборе ЕВРО","шт","27.5","","0.082","0","0"
"ДН006022","372217","Болт карданный М14х50х1,5 в сборе","шт","29","","0.094","0","0"
"ДН006021","372219","Болт карданный М14х60х1,5 в сборе","шт","30","","0.098","0","0"
"ДН12372","8.9228","Болт клапанной крышки 536 M6-6gx30 DIN EN 1665","шт","20","","0","0","0"
"ДН006888","5335-3104008/40","Болт колесный (сапожок в сборе)  ТЕФЛОН","шт","88.5","","0.3","0","0"
"ДН003326","5335-3104008","Болт колесный (сапожок голый) Ижевск","шт","51","","0.28","0","0"
